IDI_OCCUPATION_CLASS,GENDER,AGE_ATTAINED,BASE_ULTIMATE_CTR
2,F,86,0.09579875
2,F,87,0.10555475
2,F,88,0.11609675
2,F,89,0.1273195
2,F,90,0.13909875
2,F,91,0.1515815
2,F,92,0.1648855
2,F,93,0.1790505
2,F,94,0.194088
2,F,95,0.2100275
2,F,96,0.226891
2,F,97,0.251294
2,F,98,0.2844435
2,F,99,0.31804275
2,F,100,0.35165075
2,F,101,0.3847795
2,F,102,0.4168835
2,F,103,0.44682625
2,F,104,0.47469425
2,F,105,0.497825
2,F,106,0.5133
2,F,107,0.5279875
2,F,108,0.5418
2,F,109,0.55465
2,F,110,0.5625
2,F,111,0.5625
2,F,112,0.5625
2,F,113,0.5625
2,F,114,0.5625
2,F,115,0.5625
2,F,116,0.5625
2,F,117,0.5625
2,F,118,0.5625
2,F,119,0.5625
2,F,120,0.45
2,M,32,0.036327722
2,M,33,0.036627951
2,M,34,0.03692818
2,M,35,0.037378524
2,M,36,0.036479468
2,M,37,0.035580413
2,M,38,0.034681358
2,M,39,0.033782303
2,M,40,0.032883248
2,M,41,0.031984192
2,M,42,0.031085137
2,M,43,0.030186082
2,M,44,0.029287027
2,M,45,0.028387972
2,M,46,0.028007738
2,M,47,0.027627505
2,M,48,0.027247272
2,M,49,0.026867039
2,M,50,0.026486805
2,M,51,0.026106572
2,M,52,0.025726339
2,M,53,0.025346106
2,M,54,0.024965872
2,M,55,0.024585639
2,M,56,0.024784689
2,M,57,0.024983738
2,M,58,0.025182788
2,M,59,0.025381838
2,M,60,0.025580888
2,M,61,0.025779937
2,M,62,0.025978987
2,M,63,0.027195325
2,M,64,0.028411663
2,M,65,0.029628001
2,M,66,0.030810091
2,M,67,0.03198948
2,M,68,0.034037798
2,M,69,0.036081473
2,M,70,0.038120504
2,M,71,0.040154893
2,M,72,0.042184638
2,M,73,0.045058174
2,M,74,0.047925165
2,M,75,0.050785613
2,M,76,0.05369981
2,M,77,0.056614008
2,M,78,0.060679375
2,M,79,0.065610516
2,M,80,0.070692225
2,M,81,0.076112715
2,M,82,0.081984913
2,M,83,0.088271176
2,M,84,0.0963
2,M,85,0.1075555
2,M,86,0.12018825
2,M,87,0.13446375
2,M,88,0.15067025
2,M,89,0.16848325
2,M,90,0.1882675
2,M,91,0.2100855
2,M,92,0.23298525
2,M,93,0.2561775
2,M,94,0.2777895
2,M,95,0.29872375
2,M,96,0.32054625
2,M,97,0.343801
2,M,98,0.370681
2,M,99,0.399282
2,M,100,0.427039
2,M,101,0.452861
2,M,102,0.475696
2,M,103,0.49476375
2,M,104,0.51078925
2,M,105,0.5251055
2,M,106,0.5383
2,M,107,0.5489125
2,M,108,0.5552125
2,M,109,0.560025
2,M,110,0.5625
2,M,111,0.5625
2,M,112,0.5625
2,M,113,0.5625
2,M,114,0.5625
2,M,115,0.5625
2,M,116,0.5625
2,M,117,0.5625
2,M,118,0.5625
2,M,119,0.5625
2,M,120,0.45
3,F,32,0.027956553
3,F,33,0.028129124
3,F,34,0.028474267
3,F,35,0.02881941
3,F,36,0.027964915
3,F,37,0.027110421
3,F,38,0.026255927
3,F,39,0.025401432
3,F,40,0.024546938
3,F,41,0.023692444
3,F,42,0.022837949
3,F,43,0.021983455
3,F,44,0.02112896
3,F,45,0.020274466
3,F,46,0.019869533
3,F,47,0.0194646
3,F,48,0.019059667
3,F,49,0.018654734
3,F,50,0.018249801
3,F,51,0.017844868
3,F,52,0.017439935
3,F,53,0.017035002
3,F,54,0.016630069
3,F,55,0.016225136
3,F,56,0.016292356
3,F,57,0.016359576
3,F,58,0.016426796
3,F,59,0.016494016
3,F,60,0.016561236
3,F,61,0.016628457
3,F,62,0.016695677
3,F,63,0.017676817
3,F,64,0.018657958
3,F,65,0.019639099
3,F,66,0.020597345
3,F,67,0.021553411
3,F,68,0.023382172
3,F,69,0.025206804
3,F,70,0.027027308
3,F,71,0.028843684
3,F,72,0.030655932
3,F,73,0.033331371
3,F,74,0.036000739
3,F,75,0.038664036
3,F,76,0.041367709
3,F,77,0.044071381
3,F,78,0.047437945
3,F,79,0.051066839
3,F,80,0.055001783
3,F,81,0.05924278
3,F,82,0.063789827
3,F,83,0.0707865
3,F,84,0.0784525
3,F,85,0.0867735
3,F,86,0.09579875
3,F,87,0.10555475
3,F,88,0.11609675
3,F,89,0.1273195
3,F,90,0.13909875
3,F,91,0.1515815
3,F,92,0.1648855
3,F,93,0.1790505
3,F,94,0.194088
3,F,95,0.2100275
3,F,96,0.226891
3,F,97,0.251294
3,F,98,0.2844435
3,F,99,0.31804275
3,F,100,0.35165075
3,F,101,0.3847795
3,F,102,0.4168835
3,F,103,0.44682625
3,F,104,0.47469425
3,F,105,0.497825
3,F,106,0.5133
3,F,107,0.5279875
3,F,108,0.5418
3,F,109,0.55465
3,F,110,0.5625
3,F,111,0.5625
3,F,112,0.5625
3,F,113,0.5625
3,F,114,0.5625
3,F,115,0.5625
3,F,116,0.5625
3,F,117,0.5625
3,F,118,0.5625
3,F,119,0.5625
3,F,120,0.45
3,M,32,0.036327722
3,M,33,0.036627951
3,M,34,0.03692818
3,M,35,0.037378524
3,M,36,0.036479468
3,M,37,0.035580413
3,M,38,0.034681358
3,M,39,0.033782303
3,M,40,0.032883248
3,M,41,0.031984192
3,M,42,0.031085137
3,M,43,0.030186082
3,M,44,0.029287027
3,M,45,0.028387972
3,M,46,0.028007738
3,M,47,0.027627505
3,M,48,0.027247272
3,M,49,0.026867039
3,M,50,0.026486805
3,M,51,0.026106572
3,M,52,0.025726339
3,M,53,0.025346106
3,M,54,0.024965872
3,M,55,0.024585639
3,M,56,0.024784689
3,M,57,0.024983738
3,M,58,0.025182788
3,M,59,0.025381838
3,M,60,0.025580888
3,M,61,0.025779937
3,M,62,0.025978987
3,M,63,0.027195325
3,M,64,0.028411663
3,M,65,0.029628001
3,M,66,0.030810091
3,M,67,0.03198948
3,M,68,0.034037798
3,M,69,0.036081473
3,M,70,0.038120504
3,M,71,0.040154893
3,M,72,0.042184638
3,M,73,0.045058174
3,M,74,0.047925165
3,M,75,0.050785613
3,M,76,0.05369981
3,M,77,0.056614008
3,M,78,0.060679375
3,M,79,0.065610516
3,M,80,0.070692225
3,M,81,0.076112715
3,M,82,0.081984913
3,M,83,0.088271176
3,M,84,0.0963
3,M,85,0.1075555
3,M,86,0.12018825
3,M,87,0.13446375
3,M,88,0.15067025
3,M,89,0.16848325
3,M,90,0.1882675
3,M,91,0.2100855
3,M,92,0.23298525
