BASIS,GENDER,AGE_ATTAINED,MORTALITY_RATE
01CSO,F,51,0.0036
01CSO,M,51,0.00426
01CSO,F,52,0.00399
01CSO,M,52,0.0047
01CSO,F,53,0.00441
01CSO,M,53,0.00521
01CSO,F,54,0.00486
01CSO,M,54,0.00583
01CSO,F,55,0.00536
01CSO,M,55,0.00652
01CSO,F,56,0.00591
01CSO,M,56,0.00726
01CSO,F,57,0.00647
01CSO,M,57,0.00795
01CSO,F,58,0.00705
01CSO,M,58,0.00863
01CSO,F,59,0.00766
01CSO,M,59,0.00942
01CSO,F,60,0.00831
01CSO,M,60,0.0104
01CSO,F,61,0.009
01CSO,M,61,0.01159
01CSO,F,62,0.00974
01CSO,M,62,0.01298
01CSO,F,63,0.01054
01CSO,M,63,0.01447
01CSO,F,64,0.0114
01CSO,M,64,0.01604
01CSO,F,65,0.01233
01CSO,M,65,0.01765
01CSO,F,66,0.01335
01CSO,M,66,0.01927
01CSO,F,67,0.01448
01CSO,M,67,0.02096
01CSO,F,68,0.01571
01CSO,M,68,0.02274
01CSO,F,69,0.01708
01CSO,M,69,0.02469
01CSO,F,70,0.01863
01CSO,M,70,0.02694
01CSO,F,71,0.02038
01CSO,M,71,0.02971
01CSO,F,72,0.02229
01CSO,M,72,0.03294
01CSO,F,73,0.02439
01CSO,M,73,0.03632
01CSO,F,74,0.02668
01CSO,M,74,0.03996
01CSO,F,75,0.0292
01CSO,M,75,0.04395
01CSO,F,76,0.03195
01CSO,M,76,0.04844
01CSO,F,77,0.03497
01CSO,M,77,0.05367
01CSO,F,78,0.03828
01CSO,M,78,0.05972
01CSO,F,79,0.04192
01CSO,M,79,0.06648
01CSO,F,80,0.04589
01CSO,M,80,0.07402
01CSO,F,81,0.05025
01CSO,M,81,0.0822
01CSO,F,82,0.05504
01CSO,M,82,0.09082
01CSO,F,83,0.06027
01CSO,M,83,0.10022
01CSO,F,84,0.06602
01CSO,M,84,0.11069
01CSO,F,85,0.07232
01CSO,M,85,0.12236
01CSO,F,86,0.07922
01CSO,M,86,0.13517
01CSO,F,87,0.08679
01CSO,M,87,0.14899
01CSO,F,88,0.09507
01CSO,M,88,0.16366
01CSO,F,89,0.10414
01CSO,M,89,0.17903
01CSO,F,90,0.11412
01CSO,M,90,0.19428
01CSO,F,91,0.12514
01CSO,M,91,0.20927
01CSO,F,92,0.13726
01CSO,M,92,0.22494
01CSO,F,93,0.15056
01CSO,M,93,0.24146
01CSO,F,94,0.16509
01CSO,M,94,0.25886
01CSO,F,95,0.18093
01CSO,M,95,0.27612
01CSO,F,96,0.19815
01CSO,M,96,0.29295
01CSO,F,97,0.2171
01CSO,M,97,0.31086
01CSO,F,98,0.23816
01CSO,M,98,0.32995
01CSO,F,99,0.26149
01CSO,M,99,0.35032
01CSO,F,100,0.28502
01CSO,M,100,0.36976
01CSO,F,101,0.30789
01CSO,M,101,0.38696
01CSO,F,102,0.33306
01CSO,M,102,0.40525
01CSO,F,103,0.36071
01CSO,M,103,0.4247
01CSO,F,104,0.39086
01CSO,M,104,0.44535
01CSO,F,105,0.42272
01CSO,M,105,0.46729
01CSO,F,106,0.45533
01CSO,M,106,0.49057
01CSO,F,107,0.48848
01CSO,M,107,0.51528
01CSO,F,108,0.5222
01CSO,M,108,0.54149
01CSO,F,109,0.55704
01CSO,M,109,0.56927
01CSO,F,110,0.59196
01CSO,M,110,0.5987
01CSO,F,111,0.62562
01CSO,M,111,0.62988
01CSO,F,112,0.65777
01CSO,M,112,0.66287
01CSO,F,113,0.69079
01CSO,M,113,0.69778
01CSO,F,114,0.73206
01CSO,M,114,0.73468
01CSO,F,115,0.77135
01CSO,M,115,0.77366
01CSO,F,116,0.81236
01CSO,M,116,0.81478
01CSO,F,117,0.8559
01CSO,M,117,0.85815
01CSO,F,118,0.89658
01CSO,M,118,0.90381
01CSO,F,119,0.93906
01CSO,M,119,0.95167
01CSO,F,120,1.0
01CSO,M,120,1.0
