BASIS,GENDER,AGE_ATTAINED,MORTALITY_RATE
01CSO,F,16,0.00039
01CSO,M,16,0.00078
01CSO,F,17,0.00041
01CSO,M,17,0.00089
01CSO,F,18,0.00044
01CSO,M,18,0.00095
01CSO,F,19,0.00046
01CSO,M,19,0.00098
01CSO,F,20,0.00047
01CSO,M,20,0.001
01CSO,F,21,0.00049
01CSO,M,21,0.00101
01CSO,F,22,0.0005
01CSO,M,22,0.00102
01CSO,F,23,0.00051
01CSO,M,23,0.00104
01CSO,F,24,0.00053
01CSO,M,24,0.00106
01CSO,F,25,0.00055
01CSO,M,25,0.00109
01CSO,F,26,0.00058
01CSO,M,26,0.00114
01CSO,F,27,0.00061
01CSO,M,27,0.00117
01CSO,F,28,0.00064
01CSO,M,28,0.00116
01CSO,F,29,0.00067
01CSO,M,29,0.00115
01CSO,F,30,0.0007
01CSO,M,30,0.00114
01CSO,F,31,0.00075
01CSO,M,31,0.00113
01CSO,F,32,0.00079
01CSO,M,32,0.00114
01CSO,F,33,0.00085
01CSO,M,33,0.00116
01CSO,F,34,0.00092
01CSO,M,34,0.00119
01CSO,F,35,0.001
01CSO,M,35,0.00124
01CSO,F,36,0.00106
01CSO,M,36,0.00131
01CSO,F,37,0.00113
01CSO,M,37,0.00139
01CSO,F,38,0.00119
01CSO,M,38,0.00149
01CSO,F,39,0.00126
01CSO,M,39,0.00159
01CSO,F,40,0.00134
01CSO,M,40,0.00172
01CSO,F,41,0.00143
01CSO,M,41,0.00187
01CSO,F,42,0.00153
01CSO,M,42,0.00205
01CSO,F,43,0.00165
01CSO,M,43,0.00227
01CSO,F,44,0.00179
01CSO,M,44,0.00252
01CSO,F,45,0.00196
01CSO,M,45,0.00277
01CSO,F,46,0.00216
01CSO,M,46,0.00303
01CSO,F,47,0.00238
01CSO,M,47,0.00325
01CSO,F,48,0.00264
01CSO,M,48,0.00342
01CSO,F,49,0.00293
01CSO,M,49,0.00364
01CSO,F,50,0.00324
01CSO,M,50,0.00391
