BASIS,GENDER,AGE_ATTAINED,MORTALITY_RATE
58CSO,F,16,0.00136
58CSO,M,16,0.00158
58CSO,F,17,0.00143
58CSO,M,17,0.00165
58CSO,F,18,0.0015
58CSO,M,18,0.00172
58CSO,F,19,0.00158
58CSO,M,19,0.00176
58CSO,F,20,0.00165
58CSO,M,20,0.00181
58CSO,F,21,0.00172
58CSO,M,21,0.00184
58CSO,F,22,0.00176
58CSO,M,22,0.00187
58CSO,F,23,0.00181
58CSO,M,23,0.0019
58CSO,F,24,0.00184
58CSO,M,24,0.00192
58CSO,F,25,0.00187
58CSO,M,25,0.00195
58CSO,F,26,0.0019
58CSO,M,26,0.00198
58CSO,F,27,0.00192
58CSO,M,27,0.00201
58CSO,F,28,0.00195
58CSO,M,28,0.00205
58CSO,F,29,0.00198
58CSO,M,29,0.0021
58CSO,F,30,0.00201
58CSO,M,30,0.00216
58CSO,F,31,0.00205
58CSO,M,31,0.00222
58CSO,F,32,0.0021
58CSO,M,32,0.00229
58CSO,F,33,0.00216
58CSO,M,33,0.00236
58CSO,F,34,0.00222
58CSO,M,34,0.00245
58CSO,F,35,0.00229
58CSO,M,35,0.00258
58CSO,F,36,0.00236
58CSO,M,36,0.00272
58CSO,F,37,0.00245
58CSO,M,37,0.0029
58CSO,F,38,0.00258
58CSO,M,38,0.00313
58CSO,F,39,0.00272
58CSO,M,39,0.00339
58CSO,F,40,0.0029
58CSO,M,40,0.00368
58CSO,F,41,0.00313
58CSO,M,41,0.004
58CSO,F,42,0.00339
58CSO,M,42,0.00435
58CSO,F,43,0.00368
58CSO,M,43,0.00472
58CSO,F,44,0.004
58CSO,M,44,0.00513
58CSO,F,45,0.00435
58CSO,M,45,0.00559
58CSO,F,46,0.00472
58CSO,M,46,0.00609
58CSO,F,47,0.00513
58CSO,M,47,0.00665
58CSO,F,48,0.00559
58CSO,M,48,0.00727
58CSO,F,49,0.00609
58CSO,M,49,0.00796
58CSO,F,50,0.00665
58CSO,M,50,0.00871
58CSO,F,51,0.00727
58CSO,M,51,0.00953
58CSO,F,52,0.00796
58CSO,M,52,0.01042
58CSO,F,53,0.00871
58CSO,M,53,0.01139
58CSO,F,54,0.00953
58CSO,M,54,0.01245
58CSO,F,55,0.01042
58CSO,M,55,0.0136
58CSO,F,56,0.01139
58CSO,M,56,0.01487
58CSO,F,57,0.01245
58CSO,M,57,0.01626
58CSO,F,58,0.0136
58CSO,M,58,0.01779
58CSO,F,59,0.01487
58CSO,M,59,0.01946
58CSO,F,60,0.01626
58CSO,M,60,0.02128
58CSO,F,61,0.01779
58CSO,M,61,0.02326
58CSO,F,62,0.01946
58CSO,M,62,0.02543
58CSO,F,63,0.02128
58CSO,M,63,0.02779
58CSO,F,64,0.02326
58CSO,M,64,0.03038
58CSO,F,65,0.02543
58CSO,M,65,0.03322
58CSO,F,66,0.02779
58CSO,M,66,0.03636
58CSO,F,67,0.03038
58CSO,M,67,0.03982
58CSO,F,68,0.03322
58CSO,M,68,0.0436
58CSO,F,69,0.03636
58CSO,M,69,0.04765
58CSO,F,70,0.03982
58CSO,M,70,0.05191
58CSO,F,71,0.0436
58CSO,M,71,0.05634
58CSO,F,72,0.04765
58CSO,M,72,0.06089
58CSO,F,73,0.05191
58CSO,M,73,0.06561
58CSO,F,74,0.05634
58CSO,M,74,0.07065
58CSO,F,75,0.06089
58CSO,M,75,0.07616
58CSO,F,76,0.06561
58CSO,M,76,0.08231
58CSO,F,77,0.07065
58CSO,M,77,0.08922
58CSO,F,78,0.07616
58CSO,M,78,0.09693
58CSO,F,79,0.08231
58CSO,M,79,0.10535
58CSO,F,80,0.08922
58CSO,M,80,0.11439
58CSO,F,81,0.09693
58CSO,M,81,0.12395
58CSO,F,82,0.10535
58CSO,M,82,0.13392
58CSO,F,83,0.11439
58CSO,M,83,0.1443
58CSO,F,84,0.12395
58CSO,M,84,0.15512
58CSO,F,85,0.13392
58CSO,M,85,0.16647
58CSO,F,86,0.1443
58CSO,M,86,0.17839
58CSO,F,87,0.15512
58CSO,M,87,0.19102
58CSO,F,88,0.16647
58CSO,M,88,0.20457
58CSO,F,89,0.17839
58CSO,M,89,0.21937
58CSO,F,90,0.19102
58CSO,M,90,0.23582
58CSO,F,91,0.20457
58CSO,M,91,0.25444
58CSO,F,92,0.21937
58CSO,M,92,0.27582
58CSO,F,93,0.23582
58CSO,M,93,0.30067
58CSO,F,94,0.25444
58CSO,M,94,0.3307
58CSO,F,95,0.27582
58CSO,M,95,0.37064
58CSO,F,96,0.30067
58CSO,M,96,0.43349
58CSO,F,97,0.3307
58CSO,M,97,0.54925
58CSO,F,98,0.37064
58CSO,M,98,0.7508
58CSO,F,99,0.43349
58CSO,M,99,1.0
58CSO,F,100,0.54925
58CSO,M,100,
58CSO,F,101,0.7508
58CSO,M,101,
58CSO,F,102,1.0
58CSO,M,102,
58CSO,F,103,
58CSO,M,103,
58CSO,F,104,
58CSO,M,104,
58CSO,F,105,
58CSO,M,105,
58CSO,F,106,
58CSO,M,106,
58CSO,F,107,
58CSO,M,107,
58CSO,F,108,
58CSO,M,108,
58CSO,F,109,
58CSO,M,109,
58CSO,F,110,
58CSO,M,110,
58CSO,F,111,
58CSO,M,111,
58CSO,F,112,
58CSO,M,112,
58CSO,F,113,
58CSO,M,113,
58CSO,F,114,
58CSO,M,114,
58CSO,F,115,
58CSO,M,115,
58CSO,F,116,
58CSO,M,116,
58CSO,F,117,
58CSO,M,117,
58CSO,F,118,
58CSO,M,118,
58CSO,F,119,
58CSO,M,119,
58CSO,F,120,
58CSO,M,120,
