IDI_OCCUPATION_CLASS,IDI_BENEFIT_PERIOD,ELIMINATION_PERIOD,BENEFIT_PERIOD_MODIFIER
2,12M,7,0.987
2,12M,14,0.987
2,12M,30,0.987
2,12M,60,0.987
2,12M,90,0.987
2,12M,180,0.987
2,12M,360,0.987
2,12M,720,0.987
3,12M,0,1
3,12M,7,1
3,12M,14,1
3,12M,30,1
3,12M,60,1
3,12M,90,1
3,12M,180,1
3,12M,360,1
3,12M,720,1
4,12M,0,1
4,12M,7,1
4,12M,14,1
4,12M,30,1
4,12M,60,1
4,12M,90,1
4,12M,180,1
4,12M,360,1
4,12M,720,1
M,18M,0,0.951
M,18M,7,0.951
M,18M,14,0.951
M,18M,30,0.951
M,18M,60,0.9
M,18M,90,0.887
M,18M,180,0.887
M,18M,360,0.887
M,18M,720,0.887
1,18M,0,0.927
1,18M,7,0.927
1,18M,14,0.927
1,18M,30,0.927
1,18M,60,0.902
1,18M,90,0.956
1,18M,180,0.956
1,18M,360,0.956
1,18M,720,0.956
2,18M,0,0.987
2,18M,7,0.987
2,18M,14,0.987
2,18M,30,0.987
2,18M,60,0.987
2,18M,90,0.987
2,18M,180,0.987
2,18M,360,0.987
2,18M,720,0.987
3,18M,0,1
3,18M,7,1
3,18M,14,1
3,18M,30,1
3,18M,60,1
3,18M,90,1
3,18M,180,1
3,18M,360,1
3,18M,720,1
4,18M,0,1
4,18M,7,1
4,18M,14,1
4,18M,30,1
4,18M,60,1
4,18M,90,1
4,18M,180,1
4,18M,360,1
4,18M,720,1
M,24M,0,0.951
M,24M,7,0.951
M,24M,14,0.951
M,24M,30,0.951
M,24M,60,0.9
M,24M,90,0.887
M,24M,180,0.887
M,24M,360,0.887
M,24M,720,0.887
1,24M,0,0.927
1,24M,7,0.927
1,24M,14,0.927
1,24M,30,0.927
1,24M,60,0.902
1,24M,90,0.956
1,24M,180,0.956
1,24M,360,0.956
1,24M,720,0.956
2,24M,0,0.987
2,24M,7,0.987
2,24M,14,0.987
2,24M,30,0.987
2,24M,60,0.987
2,24M,90,0.987
2,24M,180,0.987
2,24M,360,0.987
2,24M,720,0.987
3,24M,0,1
3,24M,7,1
3,24M,14,1
3,24M,30,1
3,24M,60,1
3,24M,90,1
3,24M,180,1
3,24M,360,1
3,24M,720,1
4,24M,0,1
4,24M,7,1
4,24M,14,1
4,24M,30,1
4,24M,60,1
4,24M,90,1
4,24M,180,1
4,24M,360,1
4,24M,720,1
M,30M,0,0.951
M,30M,7,0.951
M,30M,14,0.951
M,30M,30,0.951
M,30M,60,0.9
M,30M,90,0.887
M,30M,180,0.887
M,30M,360,0.887
M,30M,720,0.887
1,30M,0,0.927
1,30M,7,0.927
1,30M,14,0.927
1,30M,30,0.927
1,30M,60,0.902
1,30M,90,0.956
1,30M,180,0.956
1,30M,360,0.956
1,30M,720,0.956
2,30M,0,0.987
2,30M,7,0.987
2,30M,14,0.987
2,30M,30,0.987
2,30M,60,0.987
2,30M,90,0.987
2,30M,180,0.987
2,30M,360,0.987
2,30M,720,0.987
3,30M,0,1
3,30M,7,1
3,30M,14,1
3,30M,30,1
3,30M,60,1
3,30M,90,1
3,30M,180,1
3,30M,360,1
3,30M,720,1
4,30M,0,1
4,30M,7,1
4,30M,14,1
4,30M,30,1
4,30M,60,1
4,30M,90,1
4,30M,180,1
4,30M,360,1
4,30M,720,1
M,60M,0,0.951
M,60M,7,0.951
M,60M,14,0.951
M,60M,30,0.951
M,60M,60,0.9
M,60M,90,0.887
M,60M,180,0.887
M,60M,360,0.887
M,60M,720,0.887
1,60M,0,0.927
1,60M,7,0.927
