DURATION_YEAR,IDI_CONTRACT,CONTRACT_MODIFIER
1,AS,1
2,AS,1
3,AS,1
4,AS,1
5,AS,1
6,AS,1
7,AS,1
8,AS,1
9,AS,1
10,AS,1
1,AO,1
2,AO,1
3,AO,1
4,AO,1
5,AO,1
6,AO,1
7,AO,1
8,AO,1
9,AO,1
10,AO,1
1,SO,1
2,SO,1
3,SO,1
4,SO,1
5,SO,1
6,SO,1
7,SO,1
8,SO,1
9,SO,1
10,SO,1
1,KP,1
2,KP,1
3,KP,1
4,KP,1
5,KP,1
6,KP,1
7,KP,1
8,KP,1
9,KP,1
10,KP,1
1,OE,0.947
2,OE,2.594
3,OE,2.594
4,OE,2.594
5,OE,2.594
6,OE,2.594
7,OE,2.594
8,OE,2.594
9,OE,2.594
10,OE,2.594
